source,geo_id,geo_level,country_code,metric,x,n,share,lo,hi
claude_ai,PE-LMA,subregion,PE,coursework_share,418.0,2336.0,0.17893835616438356,0.1639254307899265,0.1950055327419638
claude_ai,PE-LMA,subregion,PE,success_rate,1682.0,2336.0,0.7200342465753424,0.7014769247144522,0.7378690549450255
claude_ai,PE-LMA,subregion,PE,work_share,1101.0,2336.0,0.4713184931506849,0.45113919572757555,0.49159197034794
claude_ai,PH,country,PH,automation_share,4246.0,9013.0,0.4710973038943748,0.4608064123281385,0.48141282328536056
claude_ai,PH,country,PH,coursework_share,2693.0,9277.0,0.2902878085588013,0.2811396098561474,0.29960961874829295
claude_ai,PH,country,PH,success_rate,6806.0,9281.0,0.733326150199332,0.7242339598532885,0.7422252633175193
claude_ai,PH,country,PH,work_share,3657.0,9277.0,0.3942007114368869,0.38430214011674574,0.40418686932825976
claude_ai,PH-00,subregion,PH,automation_share,2334.0,5126.0,0.4553257900897386,0.44173115727004963,0.4689873335309139
claude_ai,PH-00,subregion,PH,coursework_share,1425.0,5268.0,0.270501138952164,0.2586757576202007,0.28266099271008244
claude_ai,PH-00,subregion,PH,success_rate,3900.0,5271.0,0.7398975526465567,0.7278827030956129,0.7515629735290653
claude_ai,PH-00,subregion,PH,work_share,2148.0,5268.0,0.40774487471526194,0.39454643266513884,0.4210777697008807
